,features,importance
60,Coprococcus,0.1433086720084858
91,Blautia,0.13679514459631673
103,Oscillospira,0.09456474588089056
93,Adlercreutzia,0.09429753728646001
89,Turicibacter,0.0607313326707221
30,Subdoligranulum,0.042855209633908264
12,Streptococcus,0.04074234629652383
98,Lactococcus,0.03479742335017171
4,Clostridium,0.033155024959296106
35,Collinsella,0.031899319567756046
80,Anaerofustis,0.03022150181057351
1,Bacteroides,0.022413082466705078
3,Butyricicoccus,0.02019232946117438
21,Roseburia,0.019074876843248722
5,Dorea,0.014550526210885477
11,Selenomonas,0.011851078090810183
7,Faecalibacterium,0.009476910805060445
58,Methanobrevibacter,0.009145085294208726
0,Alistipes,0.009110733483885412
106,Peptococcus,0.008498211397287547
56,Slackia,0.0075422715783532105
15,Defluviitalea,0.0070869188003266845
20,Lactonifactor,0.0066921048855957
53,Halomonas,0.006595209188172983
19,Lachnospira,0.006038856115116724
94,Anaerostipes,0.006036485163920663
34,Lactobacillus,0.005945133028715274
26,Macellibacteroides,0.005774414815736588
23,Succinispira,0.005664027822059012
14,Anaerosinus,0.005564253332343811
37,Actinomyces,0.0052917517101569835
2,Bifidobacterium,0.004309946982381521
92,Sutterella,0.004095894607843139
41,Coprobacillus,0.0036203513621660146
107,Dehalobacterium,0.0033788806431663578
118,Elizabethkingia,0.0031932601596516676
9,Prevotella,0.0030005841889884054
16,Desulfovibrio,0.0029143336710367495
62,Leuconostoc,0.00290614163902979
46,Christensenella,0.002729689912167187
10,Ruminococcus,0.0027275697948490308
27,Odoribacter,0.0026575936582217334
96,Phascolarctobacterium,0.0023897058823529414
6,Eggerthella,0.0022315962732919257
8,Gemmiger,0.0020237458386618058
45,Anaerotruncus,0.001869061574828007
51,Akkermansia,0.0017963057265984845
100,Parvimonas,0.0017435897435897423
116,Anaerococcus,0.001612081050082833
44,Parabacteroides,0.001523720795186142
65,Scardovia,0.0012723564593301428
101,Varibaculum,0.0011961722488038275
50,Bulleidia,0.0010178867785358662
104,Actinobaculum,0.0010000747984378925
33,Barnesiella,0.0009803921568627457
75,Finegoldia,0.0009675099460802759
71,Peptoniphilus,0.000957773232028053
52,Corynebacterium,0.0008645834042118872
105,Mogibacterium,0.0008554310613134142
64,Atopobium,0.0007572016460905349
95,Haemophilus,0.000730015082956259
110,Brevundimonas,0.0006778947368421055
77,Catenibacterium,0.0006118449861334103
76,Peptostreptococcus,0.0005617021276595735
29,Pediococcus,0.0004693877551020408
48,Anaerorhabdus,0.0002505446623093682
63,Olsenella,0.00013561320754716988
13,Abiotrophia,5.704365079365082e-05
17,Enterococcus,0.0
122,Anoxybacillus,0.0
99,Oxalobacter,0.0
112,Pedobacter,0.0
97,Veillonella,0.0
121,Burkholderia,0.0
18,Holdemania,0.0
22,Sporobacter,0.0
24,Rothia,0.0
123,Epulopiscium,0.0
120,Methylobacterium,0.0
102,Marvinbryantia,0.0
111,Facklamia,0.0
119,Flavobacterium,0.0
117,Caulobacter,0.0
115,Trichococcus,0.0
114,Tessaracoccus,0.0
108,Lachnobacterium,0.0
109,Acinetobacter,0.0
113,Sediminibacterium,0.0
25,Haloferula,0.0
39,Bacillus,0.0
82,Acidovorax,0.0
90,Vibrio,0.0
55,Paraeggerthella,0.0
66,Arthrobacter,0.0
61,Herbaspirillum,0.0
31,Paraprevotella,0.0
59,Staphylococcus,0.0
32,Papillibacter,0.0
57,Chelativorans,0.0
54,Kocuria,0.0
88,Proteus,0.0
36,Pyramidobacter,0.0
49,Butyrivibrio,0.0
47,Cloacibacillus,0.0
43,Weissella,0.0
42,Pseudomonas,0.0
38,Granulicatella,0.0
67,Butyricimonas,0.0
68,Helicobacter,0.0
69,Dialister,0.0
70,Acidaminococcus,0.0
72,Sphingomonas,0.0
73,Synergistes,0.0
74,Alloscardovia,0.0
78,Dysgonomonas,0.0
79,Millisia,0.0
28,Cytophaga,0.0
81,Victivallis,0.0
40,Coriobacterium,0.0
83,Candidatus_Hepatoplasma,0.0
84,Spirochaeta,0.0
85,Mobiluncus,0.0
86,Limnobacter,0.0
87,Alkanindiges,0.0
124,Robinsoniella,0.0
