,features,importance
3,Butyricicoccus,0.239
1,Bacteroides,0.21
4,Clostridium,0.15
17,Collinsella,0.102
6,Eggerthella,0.056
9,Ruminococcus,0.039
16,Lactobacillus,0.037
0,Alistipes,0.036
19,Coprobacillus,0.031
10,Streptococcus,0.019
13,Roseburia,0.017
5,Dorea,0.016
7,Faecalibacterium,0.013
2,Bifidobacterium,0.008
11,Enterococcus,0.008
8,Prevotella,0.005
18,Actinomyces,0.005
22,Butyrivibrio,0.002
20,Parabacteroides,0.002
12,Holdemania,0.001
14,Rothia,0.001
15,Odoribacter,0.001
21,Anaerotruncus,0.0
