,features,importance
4,Clostridium,0.14352550067279693
30,Subdoligranulum,0.10912304327842758
68,Eubacterium,0.08148014679324447
3,Butyricicoccus,0.07411206702186054
67,Blautia,0.07324385077229029
52,Akkermansia,0.05970598726652148
0,Alistipes,0.04621509078159277
20,Lactonifactor,0.04438229739387079
44,Parabacteroides,0.04364881692906193
73,unclassified_Bacteroidales,0.03825478512380116
71,Oscillibacter,0.03343649642472728
56,Coprococcus,0.028219235052793633
15,Defluviitalea,0.027365408866430206
14,Anaerosinus,0.025337195776524567
35,Collinsella,0.01846702662491518
66,Bilophila,0.01618239046603926
26,Macellibacteroides,0.011563783650545107
74,unclassified_Lachnospiraceae,0.011481421918314883
8,Gemmiger,0.011469428036316658
76,Adlercreutzia,0.010560059887783937
25,Haloferula,0.008553509070638872
5,Dorea,0.00757668740684734
16,Desulfovibrio,0.007266200394311474
28,Cytophaga,0.00649218203329007
22,Sporobacter,0.006026616809530261
11,Selenomonas,0.005943928736263482
9,Prevotella,0.0049771449547829
7,Faecalibacterium,0.004425590393146641
2,Bifidobacterium,0.004381669267527529
79,Escherichia,0.0043493724156329185
10,Ruminococcus,0.0034181474228951137
85,unclassified_Erysipelotrichaceae,0.0033051398828887434
12,Streptococcus,0.003292908123460794
54,Methanobrevibacter,0.0030629869647260948
23,Succinispira,0.0029627237350215805
1,Bacteroides,0.0019984802743188393
31,Paraprevotella,0.0017274244452852177
21,Roseburia,0.0016995917158550483
69,Gordonibacter,0.0014557597574838953
6,Eggerthella,0.0014484559747932751
36,Pyramidobacter,0.001294354838709677
78,Coprobacter,0.0012864493996569476
59,Dialister,0.0011869158878504672
64,Catenibacterium,0.0009255486542443066
27,Odoribacter,0.0009222948438634711
77,Anaerostipes,0.0008017676767676765
33,Barnesiella,0.0006414305909288485
75,unclassified_Peptostreptococcaceae,0.0003982023411371237
90,Gemella,0.000378018380027533
51,Bulleidia,1.3533133533133336e-05
101,Megasphaera,1.2931736722059293e-05
91,Lactococcus,0.0
86,Klebsiella,0.0
89,unclassified_Burkholderiales,0.0
87,Parasutterella,0.0
84,unclassified_Clostridiales,0.0
88,Propionibacterium,0.0
103,Solobacterium,0.0
92,Oxalobacter,0.0
93,unclassified_Ruminococcaceae,0.0
115,Aggregatibacter,0.0
114,unclassified_Coriobacteriaceae,0.0
113,Campylobacter,0.0
112,Marvinbryantia,0.0
111,unclassified_Dermatophilaceae,0.0
110,unclassified_Clostridiales_Family_XIII._Incertae_Sedis,0.0
109,Raoultella,0.0
108,unclassified_Enterobacteriaceae,0.0
107,Hafnia,0.0
106,Enterobacter,0.0
105,Varibaculum,0.0
104,Pantoea,0.0
82,Pseudoflavonifractor,0.0
102,Alloprevotella,0.0
100,Methanosphaera,0.0
99,Mitsuokella,0.0
98,Parvimonas,0.0
97,Flavonifractor,0.0
96,unclassified_Clostridiaceae,0.0
95,Fusobacterium,0.0
94,unclassified_Sutterellaceae,0.0
83,Veillonella,0.0
58,Scardovia,0.0
81,Phascolarctobacterium,0.0
34,Lactobacillus,0.0
42,Pseudomonas,0.0
41,Coprobacillus,0.0
40,Coriobacterium,0.0
39,Bacillus,0.0
38,Granulicatella,0.0
37,Actinomyces,0.0
32,Papillibacter,0.0
80,Haemophilus,0.0
29,Pediococcus,0.0
24,Rothia,0.0
19,Lachnospira,0.0
18,Holdemania,0.0
17,Enterococcus,0.0
13,Abiotrophia,0.0
43,Weissella,0.0
45,Anaerotruncus,0.0
46,Christensenella,0.0
47,Cloacibacillus,0.0
48,Hespellia,0.0
49,Anaerorhabdus,0.0
50,Butyrivibrio,0.0
53,Slackia,0.0
55,Staphylococcus,0.0
57,Olsenella,0.0
60,Acidaminococcus,0.0
61,Alloscardovia,0.0
62,Finegoldia,0.0
63,Peptostreptococcus,0.0
65,Turicibacter,0.0
70,Megamonas,0.0
72,Sutterella,0.0
116,Citrobacter,0.0
